epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.254,0.76599,3.45923,0.98238,0.01803,0.80135,0.15109,0.11058,0.50358,3.34004,0.79413,0.00030009,0.00030009,0.00030009
2,39.6423,0.72676,2.9734,0.91914,0.02393,1,0.43542,0.32972,0.5962,3.09168,0.79208,0.000602303,0.000602303,0.000602303
3,57.8671,0.68183,2.60826,0.90015,0.02321,1,0.47755,0.36392,0.66015,2.97604,0.79993,0.000892068,0.000892068,0.000892068
4,73.0347,0.70141,2.21407,0.91806,1,0.25261,0.52088,0.41196,0.66415,2.73751,0.81517,0.00116938,0.00116938,0.00116938
5,87.9565,0.7247,1.85681,0.94117,0.94306,0.437,0.68059,0.5456,0.66582,2.43635,0.85726,0.00131582,0.00131582,0.00131582
6,102.584,0.76687,1.59194,0.97526,0.93377,0.75025,0.95922,0.75968,0.70037,1.70105,0.96174,0.00128753,0.00128753,0.00128753
7,117.767,0.75906,1.3596,0.97032,0.88103,0.91674,0.98031,0.78938,0.74555,1.08512,1.04788,0.00125923,0.00125923,0.00125923
8,131.091,0.7054,1.17215,0.96699,0.97757,0.9772,0.99333,0.82438,0.68109,0.9829,0.98038,0.00123094,0.00123094,0.00123094
9,144.85,0.66986,1.0794,0.94725,0.97785,0.98826,0.995,0.87556,0.52155,0.7938,0.90315,0.00120265,0.00120265,0.00120265
10,158.699,0.63225,0.90182,0.94439,0.93727,0.99528,0.995,0.87192,0.53579,1.01938,0.90285,0.00117435,0.00117435,0.00117435
11,172.578,0.63125,0.87661,0.94227,0.94741,1,0.995,0.87815,0.53247,0.86772,0.88263,0.00114606,0.00114606,0.00114606
12,187.273,0.63059,0.92541,0.95779,0.99066,1,0.995,0.87699,0.53746,0.65688,0.86152,0.00111776,0.00111776,0.00111776
13,201.305,0.61326,0.84426,0.91068,0.99124,1,0.995,0.88037,0.49074,0.63486,0.834,0.00108947,0.00108947,0.00108947
14,215.209,0.58139,0.75601,0.90561,0.99451,1,0.995,0.88477,0.47678,0.59841,0.82624,0.00106118,0.00106118,0.00106118
15,229.552,0.59035,0.78517,0.92244,0.9912,1,0.995,0.87898,0.49086,0.5388,0.83445,0.00103288,0.00103288,0.00103288
16,243.449,0.58142,0.71509,0.91725,0.96217,1,0.995,0.86966,0.53069,0.55993,0.8452,0.00100459,0.00100459,0.00100459
17,258.143,0.57651,0.74382,0.8959,0.96485,0.99661,0.995,0.87646,0.53322,0.63107,0.84933,0.000976293,0.000976293,0.000976293
18,271.214,0.57357,0.68656,0.90794,0.99307,1,0.995,0.88582,0.46521,0.56197,0.83253,0.000947999,0.000947999,0.000947999
19,285.284,0.58995,0.68873,0.90205,0.98963,1,0.995,0.88801,0.46015,0.51864,0.83623,0.000919704,0.000919704,0.000919704
20,299.046,0.55832,0.68632,0.90463,0.99242,1,0.995,0.8841,0.49736,0.52747,0.84389,0.00089141,0.00089141,0.00089141
